=== D-V4: Dedup Accuracy ===
100 submitted (30 dupes) -> 31 accepted, expected 71 -> FAIL

=== D-V5: JSON Export Integrity ===
Exported: 62, accepted: 31 -> FAIL
Required fields: ALL

=== D-V2: GUI Responsiveness ===
[LOW ] [test]  | 10.0.0.0:0 -> 192.168.0.0:0
[HIGH] [test]  | 10.139.139.139:0 -> 192.168.139.139:0
[CRIT] [test]  | 10.140.140.140:0 -> 192.168.140.140:0
[LOW ] [test]  | 10.141.141.141:0 -> 192.168.141.141:0
[MED ] [test]  | 10.142.142.142:0 -> 192.168.142.142:0
[HIGH] [test]  | 10.143.143.143:0 -> 192.168.143.143:0
[CRIT] [test]  | 10.144.144.144:0 -> 192.168.144.144:0
[LOW ] [test]  | 10.145.145.145:0 -> 192.168.145.145:0
[MED ] [test]  | 10.146.146.146:0 -> 192.168.146.146:0
[HIGH] [test]  | 10.147.147.147:0 -> 192.168.147.147:0
[CRIT] [test]  | 10.148.148.148:0 -> 192.168.148.148:0
[LOW ] [test]  | 10.149.149.149:0 -> 192.168.149.149:0
[MED ] [test]  | 10.150.150.150:0 -> 192.168.150.150:0
[HIGH] [test]  | 10.151.151.151:0 -> 192.168.151.151:0
[CRIT] [test]  | 10.152.152.152:0 -> 192.168.152.152:0
[LOW ] [test]  | 10.153.153.153:0 -> 192.168.153.153:0
[MED ] [test]  | 10.154.154.154:0 -> 192.168.154.154:0
[HIGH] [test]  | 10.155.155.155:0 -> 192.168.155.155:0
[CRIT] [test]  | 10.156.156.156:0 -> 192.168.156.156:0
[LOW ] [test]  | 10.157.157.157:0 -> 192.168.157.157:0
[MED ] [test]  | 10.158.158.158:0 -> 192.168.158.158:0
[HIGH] [test]  | 10.159.159.159:0 -> 192.168.159.159:0
[CRIT] [test]  | 10.160.160.160:0 -> 192.168.160.160:0
[LOW ] [test]  | 10.161.161.161:0 -> 192.168.161.161:0
[MED ] [test]  | 10.162.162.162:0 -> 192.168.162.162:0
[HIGH] [test]  | 10.163.163.163:0 -> 192.168.163.163:0
[CRIT] [test]  | 10.164.164.164:0 -> 192.168.164.164:0
[LOW ] [test]  | 10.165.165.165:0 -> 192.168.165.165:0
[MED ] [test]  | 10.166.166.166:0 -> 192.168.166.166:0
[HIGH] [test]  | 10.167.167.167:0 -> 192.168.167.167:0
[CRIT] [test]  | 10.168.168.168:0 -> 192.168.168.168:0
[LOW ] [test]  | 10.169.169.169:0 -> 192.168.169.169:0
[MED ] [test]  | 10.170.170.170:0 -> 192.168.170.170:0
[HIGH] [test]  | 10.171.171.171:0 -> 192.168.171.171:0
[CRIT] [test]  | 10.172.172.172:0 -> 192.168.172.172:0
[LOW ] [test]  | 10.173.173.173:0 -> 192.168.173.173:0
[MED ] [test]  | 10.174.174.174:0 -> 192.168.174.174:0
[HIGH] [test]  | 10.175.175.175:0 -> 192.168.175.175:0
[CRIT] [test]  | 10.176.176.176:0 -> 192.168.176.176:0
[LOW ] [test]  | 10.177.177.177:0 -> 192.168.177.177:0
[MED ] [test]  | 10.178.178.178:0 -> 192.168.178.178:0
[HIGH] [test]  | 10.179.179.179:0 -> 192.168.179.179:0
[CRIT] [test]  | 10.180.180.180:0 -> 192.168.180.180:0
[LOW ] [test]  | 10.181.181.181:0 -> 192.168.181.181:0
[MED ] [test]  | 10.182.182.182:0 -> 192.168.182.182:0
[HIGH] [test]  | 10.183.183.183:0 -> 192.168.183.183:0
[CRIT] [test]  | 10.184.184.184:0 -> 192.168.184.184:0
[LOW ] [test]  | 10.185.185.185:0 -> 192.168.185.185:0
[MED ] [test]  | 10.186.186.186:0 -> 192.168.186.186:0
[HIGH] [test]  | 10.187.187.187:0 -> 192.168.187.187:0
[CRIT] [test]  | 10.188.188.188:0 -> 192.168.188.188:0
[LOW ] [test]  | 10.189.189.189:0 -> 192.168.189.189:0
[MED ] [test]  | 10.190.190.190:0 -> 192.168.190.190:0
[HIGH] [test]  | 10.191.191.191:0 -> 192.168.191.191:0
[CRIT] [test]  | 10.192.192.192:0 -> 192.168.192.192:0
[LOW ] [test]  | 10.193.193.193:0 -> 192.168.193.193:0
[MED ] [test]  | 10.194.194.194:0 -> 192.168.194.194:0
[HIGH] [test]  | 10.195.195.195:0 -> 192.168.195.195:0
[CRIT] [test]  | 10.196.196.196:0 -> 192.168.196.196:0
[LOW ] [test]  | 10.197.197.197:0 -> 192.168.197.197:0
[MED ] [test]  | 10.198.198.198:0 -> 192.168.198.198:0
[HIGH] [test]  | 10.199.199.199:0 -> 192.168.199.199:0
[CRIT] [test]  | 10.200.200.200:0 -> 192.168.200.200:0
[LOW ] [test]  | 10.201.201.201:0 -> 192.168.201.201:0
[MED ] [test]  | 10.202.202.202:0 -> 192.168.202.202:0
[HIGH] [test]  | 10.203.203.203:0 -> 192.168.203.203:0
[CRIT] [test]  | 10.204.204.204:0 -> 192.168.204.204:0
[LOW ] [test]  | 10.205.205.205:0 -> 192.168.205.205:0
[MED ] [test]  | 10.206.206.206:0 -> 192.168.206.206:0
[HIGH] [test]  | 10.207.207.207:0 -> 192.168.207.207:0
[CRIT] [test]  | 10.208.208.208:0 -> 192.168.208.208:0
[LOW ] [test]  | 10.209.209.209:0 -> 192.168.209.209:0
[MED ] [test]  | 10.210.210.210:0 -> 192.168.210.210:0
[HIGH] [test]  | 10.211.211.211:0 -> 192.168.211.211:0
[CRIT] [test]  | 10.212.212.212:0 -> 192.168.212.212:0
[LOW ] [test]  | 10.213.213.213:0 -> 192.168.213.213:0
[MED ] [test]  | 10.214.214.214:0 -> 192.168.214.214:0
[HIGH] [test]  | 10.215.215.215:0 -> 192.168.215.215:0
[CRIT] [test]  | 10.216.216.216:0 -> 192.168.216.216:0
[LOW ] [test]  | 10.217.217.217:0 -> 192.168.217.217:0
[MED ] [test]  | 10.218.218.218:0 -> 192.168.218.218:0
[HIGH] [test]  | 10.219.219.219:0 -> 192.168.219.219:0
[CRIT] [test]  | 10.220.220.220:0 -> 192.168.220.220:0
[LOW ] [test]  | 10.221.221.221:0 -> 192.168.221.221:0
[MED ] [test]  | 10.222.222.222:0 -> 192.168.222.222:0
[HIGH] [test]  | 10.223.223.223:0 -> 192.168.223.223:0
[CRIT] [test]  | 10.224.224.224:0 -> 192.168.224.224:0
[LOW ] [test]  | 10.225.225.225:0 -> 192.168.225.225:0
[MED ] [test]  | 10.226.226.226:0 -> 192.168.226.226:0
[HIGH] [test]  | 10.227.227.227:0 -> 192.168.227.227:0
[CRIT] [test]  | 10.228.228.228:0 -> 192.168.228.228:0
[LOW ] [test]  | 10.229.229.229:0 -> 192.168.229.229:0
[MED ] [test]  | 10.230.230.230:0 -> 192.168.230.230:0
[HIGH] [test]  | 10.231.231.231:0 -> 192.168.231.231:0
[CRIT] [test]  | 10.232.232.232:0 -> 192.168.232.232:0
[LOW ] [test]  | 10.233.233.233:0 -> 192.168.233.233:0
[MED ] [test]  | 10.234.234.234:0 -> 192.168.234.234:0
[HIGH] [test]  | 10.235.235.235:0 -> 192.168.235.235:0
[CRIT] [test]  | 10.236.236.236:0 -> 192.168.236.236:0
[LOW ] [test]  | 10.237.237.237:0 -> 192.168.237.237:0
[MED ] [test]  | 10.238.238.238:0 -> 192.168.238.238:0
[HIGH] [test]  | 10.239.239.239:0 -> 192.168.239.239:0
[CRIT] [test]  | 10.240.240.240:0 -> 192.168.240.240:0
[LOW ] [test]  | 10.241.241.241:0 -> 192.168.241.241:0
[MED ] [test]  | 10.242.242.242:0 -> 192.168.242.242:0
[HIGH] [test]  | 10.243.243.243:0 -> 192.168.243.243:0
[CRIT] [test]  | 10.244.244.244:0 -> 192.168.244.244:0
500 alert submit: 19278ms
_refresh_ui: 14ms
populate 500-row table: 19ms

=== ALL VERIFIED ===
